smiles,sampling_params,response
Cc1csc(NC(=O)c2cccnc2N2CCOCC2)n1,medium,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""Cc1csc(N)n1"", ""O=C(O)c1cccnc1N1CCOCC1""], ""product"": ""Cc1csc(NC(=O)c2cccnc2N2CCOCC2)n1""}], ""building_blocks"": [""<bb>Cc1csc(N)n1</bb>"", ""<bb>O=C(O)c1cccnc1N1CCOCC1</bb>""]}"
Cc1csc(NC(=O)c2cccnc2N2CCOCC2)n1,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[c;!$(c1ccccc1);$(c1[n,c]c[n,c]c[n,c]1):1][Cl,F].[N;$(NC);!$(N=*);!$([N-]);!$(N#*);!$([ND3]);!$([ND4]);!$(N[c,O]);!$(N[C,S]=[S,O,N]):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""C1COCCN1"", ""Cc1csc(NC(=O)c2cccnc2Cl)n1""], ""product"": ""Cc1csc(NC(=O)c2cccnc2N2CCOCC2)n1""}], ""building_blocks"": [""<bb>C1COCCN1</bb>"", ""<bb>Cc1csc(NC(=O)c2cccnc2Cl)n1</bb>""]}"
Cc1csc(NC(=O)c2cccnc2N2CCOCC2)n1,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""Cc1csc(N)n1"", ""O=C(O)c1cccnc1N1CCOCC1""], ""product"": ""Cc1csc(NC(=O)c2cccnc2N2CCOCC2)n1""}], ""building_blocks"": [""<bb>Cc1csc(N)n1</bb>"", ""<bb>O=C(O)c1cccnc1N1CCOCC1</bb>""]}"
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl,frozen,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""COc1cc(N2CCNCC2)ccc1Cl"", ""CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O""], ""product"": ""COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl""}], ""building_blocks"": [""<bb>COc1cc(N2CCNCC2)ccc1Cl</bb>"", ""<bb>CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O</bb>""]}"
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl,low,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""COc1cc(N2CCNCC2)ccc1Cl"", ""CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O""], ""product"": ""COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl""}], ""building_blocks"": [""<bb>COc1cc(N2CCNCC2)ccc1Cl</bb>"", ""<bb>CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O</bb>""]}"
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl,low,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""COc1cc(N2CCNCC2)ccc1Cl"", ""CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O""], ""product"": ""COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl""}], ""building_blocks"": [""<bb>COc1cc(N2CCNCC2)ccc1Cl</bb>"", ""<bb>CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O</bb>""]}"
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl,medium,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""COc1cc(N2CCNCC2)ccc1Cl"", ""CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O""], ""product"": ""COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl""}], ""building_blocks"": [""<bb>COc1cc(N2CCNCC2)ccc1Cl</bb>"", ""<bb>CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O</bb>""]}"
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl,medium,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""COc1cc(N2CCNCC2)ccc1Cl"", ""CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O""], ""product"": ""COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl""}], ""building_blocks"": [""<bb>COc1cc(N2CCNCC2)ccc1Cl</bb>"", ""<bb>CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)O</bb>""]}"
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""COc1cc(N2CCNCC2)ccc1Cl"", ""CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)Cl""], ""product"": ""COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl""}, {""reaction_number"": 2, ""reaction_template"": ""<rxn>[OH,O-:4]-[C$(C(=O)([OH,O-])([CX4])),C$([CH](=O)([OH,O-])):2]=[O:3]>>[Cl:5][C:2]=[O:3]</rxn>"", ""reactants"": ["""", ""CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)[O-])c1Cl""], ""product"": ""CC(=O)NCc1c(Cl)c(C(F)(F)F)nn1CC(=O)Cl""}], ""building_blocks"": [""<bb>COc1cc(N2CCNCC2)ccc1Cl</bb>"", ""<bb>CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)[O-])c1Cl</bb>""]}"
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)O)c1Cl"", ""COc1cc(N2CCNCC2)ccc1Cl""], ""product"": ""COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl""}, {""reaction_number"": 2, ""reaction_template"": ""<rxn>[OH:2]-[$([CX4]),c:1]>>[Cl:3][C,c:1]</rxn>"", ""reactants"": ["""", ""CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)O)c1O""], ""product"": ""CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)O)c1Cl""}], ""building_blocks"": [""<bb>COc1cc(N2CCNCC2)ccc1Cl</bb>"", ""<bb>CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)O)c1O</bb>""]}"
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""COc1cc(N2CCNCC2)ccc1Cl"", ""CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)O)c1Cl""], ""product"": ""COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl""}], ""building_blocks"": [""<bb>COc1cc(N2CCNCC2)ccc1Cl</bb>"", ""<bb>CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)O)c1Cl</bb>""]}"
COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,OH,O-:3][C$(C(=O)([CX4,c])),C$([CH](=O)):2]=[O:4].[N$([NH2,NH3+1]([CX4,c])),N$([NH]([CX4,c])([CX4,c])):6]>>[N+0:6]-[C:2]=[O:4]</rxn>"", ""reactants"": [""COc1cc(N2CCNCC2)ccc1Cl"", ""CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)O)c1Cl""], ""product"": ""COc1cc(N2CCN(C(=O)Cn3nc(C(F)(F)F)c(Cl)c3CNC(C)=O)CC2)ccc1Cl""}], ""building_blocks"": [""<bb>COc1cc(N2CCNCC2)ccc1Cl</bb>"", ""<bb>CC(=O)NCc1c(C(F)(F)F)nn(CC(=O)O)c1Cl</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,frozen,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,low,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,low,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,medium,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,medium,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(Br)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(Br)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,medium,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(I)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(I)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1,high,"{""reactions"": [{""reaction_number"": 1, ""reaction_template"": ""<rxn>[Cl,Br,I][c;$(c1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):1].[N;$(NC)&!$(N=*)&!$([N-])&!$(N#*)&!$([ND3])&!$([ND4])&!$(N[c,O])&!$(N[C,S]=[S,O,N]),H2&$(Nc1:[c,n]:[c,n]:[c,n]:[c,n]:[c,n]:1):2]>>[c:1][N:2]</rxn>"", ""reactants"": [""c1cc2c(cn1)CNCC2"", ""O=C(Nc1ccc(Br)cc1)c1cccc(C(F)(F)F)c1""], ""product"": ""O=C(Nc1ccc(N2CCc3ccncc3C2)cc1)c1cccc(C(F)(F)F)c1""}, {""reaction_number"": 2, ""reaction_template"": ""<rxn>[OH:2]-[$([CX4]),c:1]>>[Br:3][C,c:1]</rxn>"", ""reactants"": [""O=C(Nc1ccc(O)cc1)c1cccc(C(F)(F)F)c1"", """"], ""product"": ""O=C(Nc1ccc(Br)cc1)c1cccc(C(F)(F)F)c1""}], ""building_blocks"": [""<bb>c1cc2c(cn1)CNCC2</bb>"", ""<bb>O=C(Nc1ccc(O)cc1)c1cccc(C(F)(F)F)c1</bb>""]}"
